Item,اجمالي,coffee,milk,Condensed,Turkish,tea,Tea F,Cup 8,Cup 12,Cap tea,cap 16,cap 4,cap ias,Flavor Syrup,Cola,soda,Water,Vanilla Powder,Chocolate Powder,matcha,Kramer,White chocolate,Chocolate Sauce,Caramel Sauce,Raspberry,Peach Sauce,Mango Sauce,Strawberry Sauce,Passion Fruit,Oreo,Snickers,Pineapple juice,Orange juice,Manho juice,strawberry juice,Guava juice,Straw,Spoons,whipped cream,sugar,Bubba,honey,Vanilla Packet,milk albro,Pistacio,Unnamed: 46,Unnamed: 47,Unnamed: 48,Item.1,المبيعات
Original Ice Mixt(13oz),1.0,7.0,90.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,Strawberry juice,0.0
Flavored Ice Mixt,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Guava juice,0.0
Caramel Frappe(13oz),1.0,,120.0,,,,,,,,,,1.0,,,,,25.0,,,,,,30.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,Straw,23.0
Chocolate Frappe(13oz),1.0,,120.0,,,,,,,,,,1.0,,,,,25.0,,,,,30.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,spoons,11.0
Oreo Frappe(13oz),1.0,,130.0,,,,,,,,,,1.0,,,,,25.0,,,,,15.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,whipped cream ,0.0
Snickers Frappe(13oz),2.0,,240.0,,,,,,,,,,2.0,,,,,50.0,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,sugar,24.0
American Ice,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,honey,0.0
Mojito Classic,0.0,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Vanilla Cox,0.0
Decorative Mix,0.0,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Bubba,0.0
Mai Tai,0.0,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,milk albro,400.0
Pina Colada Mix,0.0,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Pistacio,0.0
Margarita Meeks,0.0,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Tonic,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Frappe Pistacio,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,
Ice Pistachio,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,
Mango(13oz),0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
Passion Fruit(13oz),0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,
Raspberry(13oz),0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Liquid Freeze (13oz),10.0,,,,,,,,,,,,10.0,560.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
Peach Smoothie (13oz),0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,
Strawberry  Smoothie (13oz),0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,
Caramel Smoothie (13oz),0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Chocolate Smoothie (13oz),2.0,,200.0,,,,,,,,,,2.0,,,,,50.0,,,,,60.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
Mango Smoothie (13oz),0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
Raspberry  Smoothie (13oz),0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Strawberry Juice ,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,
Guava Juice,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,
Orange Juice ,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,
Mango Juice  ,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,
Strawberry Slushed (13oz),0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,
Guava Slushed (13oz),0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,
Orange Slushed  (13oz),0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,
Mango Slushed   (13oz),0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,
Lemon mint Juice(13oz),0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Italian soda (13oz),0.0,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Cherry coke-cherry sprite ,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Cranberry Lemon Fizz (13oz),0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Pina colada (13oz),0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,
Coke-sprite-fanta-Schweppes,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
soda,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Mineral Water Small,12.0,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extra moka,1.0,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add sause chocletea,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
add sause carmel,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
add sause rasbery,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
add sause passion fruit,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
add sause mango,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
add sause peach,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
add sause strawberry,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Boba mango smoo,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,
Boba passion smoo,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,
white chocolate 12,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
white chocolate frappe,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
matcha frappe,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
matcha 8 oz,0.0,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,
matcha12 oz,0.0,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,
matcha 16 oz,0.0,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,
tea 8oz,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tea flavour 8oz,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,126.0,3.02,60.0,0.0,1.0,0.0,2.0,5.0,1.0,3.0,0.0,23.0,600.0,0.0,0.0,12.0,175.0,135.0,0.0,0.0,0.0,105.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,0.0,24.0,0.0,0.0,0.0,400.0,0.0,,,,,
